Venue,Venue Id,Ratings
The Roxy Hotel,3fd66200f964a520bbe61ee3,8.7
Crosby Street Hotel,4ac7e4a7f964a52065ba20e3,9.1
Conrad New York Downtown,4f22ca77e4b0ed3396a83a05,8.7
SoHo Grand Hotel,3fd66200f964a52053eb1ee3,8.7
The Bowery Hotel,4ab04eb9f964a520fe6620e3,9.3
Andaz Wall Street - a concept by Hyatt,4b1b13ddf964a520bbf723e3,8.1
"The Standard, High Line",49d3d4a7f964a5201a5c1fe3,9.1
Ace Hotel New York,4a0e0f85f964a520bf751fe3,8.8
Kimpton Hotel Eventi,4bec60a5f909ef3b2808a9c6,8.9
Four Seasons Hotel New York Downtown,57c640ad498e74977f98372f,9.3
"The Beekman, A Thompson Hotel",56d8c0f8498edb854f926e6a,9.1
Dream Downtown,4d9c92f4baae54815f2cde64,8.2
Gansevoort Meatpacking NYC,412e7980f964a520f80c1fe3,8.2
W New York - Union Square,44d7b1f3f964a52070361fe3,8.1
Hotel 50 Bowery,578692f4498e1054905dbde7,9.0
Greenwich Hotel,4ab6c985f964a5200a7920e3,9.0
citizenM Bowery,51050d4e5262d6654ddc83e1,9.3
W New York - Times Square,438d6b12f964a520322b1fe3,8.8
citizenM Hotel New York Times Square,5093c236830214706abb75db,9.1
Andaz 5th Avenue - a concept by Hyatt,4bcdc6bd937ca593fa40ad92,8.6
Arlo SoHo,57c98c00498ede2ae6ad9755,9.0
1 Hotel Brooklyn Bridge,57ed4330498e34539123c310,9.1
Distrikt Hotel,4b58b0a5f964a520d66528e3,8.5
PUBLIC,587f8878c45ee34e4c6c2f8a,9.0
11 Howard,56f1dac5498ee078791a2051,8.5
The Dominick,5a71f5dafdb9a7499731c928,8.8
The Plaza Hotel,49d18dfdf964a5208f5b1fe3,9.2
InterContinental New York Times Square,4c2cdf2d8ef52d7fed9933ba,8.5
The Ludlow Hotel,536020eb11d2ce653fb711d0,9.1
The Peninsula New York,4a67bbd8f964a520f9c91fe3,9.2
Artezen Hotel,5a91fa58e679bc57ca94db72,8.2
Lotte New York Palace,49c99502f964a52083581fe3,8.7
Ink 48 Hotel,4a9f2ec3f964a520d73c20e3,8.8
NOMO SOHO,5547ffe8498ec8a2c668a412,8.4
Mercer Hotel,4a32f2a7f964a520cf9a1fe3,8.6
Pod 39 Hotel,4fe0634b7beb303528d17f94,8.2
Sofitel New York,4b4e71caf964a520f8ed26e3,8.4
"Gild Hall, A Thompson Hotel",4a6e3e75f964a5204ed41fe3,8.2
The Nolitan Hotel,4cd54de87da9a35dc8a3e8b9,8.4
Four Seasons Hotel,4a8eb444f964a5207e1220e3,8.8
Hotel Hugo,5327321d498e3b494482e5f5,8.4
