Hotel,Hotel Latitude,Hotel Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
The Roxy Hotel,40.71934055853672,-74.00504389888542,Aire Ancient Baths,40.718141411641234,-74.00494121234846,Spa
The Roxy Hotel,40.71934055853672,-74.00504389888542,The Django,40.71936473752016,-74.00488004789766,Lounge
The Roxy Hotel,40.71934055853672,-74.00504389888542,Gotan,40.719217148322926,-74.00664210319519,Café
The Roxy Hotel,40.71934055853672,-74.00504389888542,Pepolino,40.72091120041498,-74.00515242264551,Italian Restaurant
The Roxy Hotel,40.71934055853672,-74.00504389888542,Spring Studios,40.72091513513113,-74.00620692903254,Event Space
The Roxy Hotel,40.71934055853672,-74.00504389888542,Macao Trading Co.,40.719759,-74.003981,Asian Restaurant
The Roxy Hotel,40.71934055853672,-74.00504389888542,Terra Wine Bar,40.7192683,-74.0065046,Wine Bar
The Roxy Hotel,40.71934055853672,-74.00504389888542,Two Hands Restaurant & Bar,40.71793729407671,-74.0056947993655,Australian Restaurant
The Roxy Hotel,40.71934055853672,-74.00504389888542,La Colombe Torrefaction,40.719829,-74.003854,Coffee Shop
The Roxy Hotel,40.71934055853672,-74.00504389888542,Paul's Cocktail Lounge,40.719562606558206,-74.005035117036,Nightclub
The Roxy Hotel,40.71934055853672,-74.00504389888542,The Drama League Theater Center,40.72005407894268,-74.00433873644653,Theater
The Roxy Hotel,40.71934055853672,-74.00504389888542,The Roxy Hotel,40.71934055853672,-74.00504389888542,Hotel
The Roxy Hotel,40.71934055853672,-74.00504389888542,Barry's Bootcamp,40.721128035611365,-74.00539755821228,Gym / Fitness Center
The Roxy Hotel,40.71934055853672,-74.00504389888542,Y7 Studio - Tribeca,40.7178305720227,-74.0062042065723,Gym / Fitness Center
The Roxy Hotel,40.71934055853672,-74.00504389888542,Brandy Library,40.719952,-74.007412,Whisky Bar
The Roxy Hotel,40.71934055853672,-74.00504389888542,Frenchette,40.719596,-74.005786,French Restaurant
The Roxy Hotel,40.71934055853672,-74.00504389888542,The Roxy Hotel Bar,40.7193935332575,-74.00492368351038,Cocktail Bar
The Roxy Hotel,40.71934055853672,-74.00504389888542,Maman,40.71897320131639,-74.00626391172409,French Restaurant
The Roxy Hotel,40.71934055853672,-74.00504389888542,SKY TING YOGA,40.71812415369316,-74.00305076100503,Yoga Studio
The Roxy Hotel,40.71934055853672,-74.00504389888542,Bâtard,40.719624,-74.005788,Modern European Restaurant
The Roxy Hotel,40.71934055853672,-74.00504389888542,Blue in Green,40.720819039579546,-74.0030216371939,Men's Store
The Roxy Hotel,40.71934055853672,-74.00504389888542,Grandaisy Bakery,40.7200760835469,-74.00565061546854,Bakery
The Roxy Hotel,40.71934055853672,-74.00504389888542,Walker's,40.71980919292731,-74.00685377052856,Burger Joint
The Roxy Hotel,40.71934055853672,-74.00504389888542,Belle Reve,40.719527614151524,-74.00441549272927,Cocktail Bar
The Roxy Hotel,40.71934055853672,-74.00504389888542,Sweet Lily,40.71914305111835,-74.00653736323514,Spa
