Hotel,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
1 Hotel Brooklyn Bridge,Park,Ice Cream Shop,Boat or Ferry,Scenic Lookout,Juice Bar,Pizza Place,Pier,Café,Playground,American Restaurant
11 Howard,Italian Restaurant,Spa,Clothing Store,Café,Coffee Shop,Bakery,Furniture / Home Store,Bubble Tea Shop,Jewelry Store,Chinese Restaurant
Ace Hotel Brooklyn,Furniture / Home Store,French Restaurant,Bar,Bank,Middle Eastern Restaurant,Sandwich Place,Cocktail Bar,Spa,Gym / Fitness Center,Grocery Store
Ace Hotel New York,Korean Restaurant,Hotel Bar,Dessert Shop,New American Restaurant,Bakery,Gym / Fitness Center,Italian Restaurant,Japanese Restaurant,Vegetarian / Vegan Restaurant,Coffee Shop
Andaz 5th Avenue - a concept by Hyatt,Mediterranean Restaurant,Coffee Shop,Clothing Store,Massage Studio,American Restaurant,Japanese Restaurant,French Restaurant,Sushi Restaurant,Steakhouse,Cocktail Bar
Andaz Wall Street - a concept by Hyatt,Boat or Ferry,Coffee Shop,American Restaurant,Pizza Place,Cocktail Bar,Pedestrian Plaza,Falafel Restaurant,Event Space,Bar,Plaza
Arlo NoMad,Korean Restaurant,Bakery,Gym / Fitness Center,Dessert Shop,Bar,Juice Bar,Japanese Restaurant,Hotel Bar,Fried Chicken Joint,Food Court
Arlo SoHo,Italian Restaurant,Office,Greek Restaurant,Boutique,Mexican Restaurant,Cocktail Bar,Food Truck,French Restaurant,Lounge,Gym
Artezen Hotel,Italian Restaurant,Coffee Shop,Sandwich Place,Clothing Store,Burger Joint,Pizza Place,Bar,Deli / Bodega,Indian Restaurant,Gym
Conrad New York Downtown,Park,Coffee Shop,Food Court,Sandwich Place,BBQ Joint,Burger Joint,Gym,Mediterranean Restaurant,Bistro,Mexican Restaurant
Crosby Street Hotel,Boutique,Italian Restaurant,Clothing Store,Cosmetics Shop,Pizza Place,Women's Store,Sporting Goods Shop,Café,Mediterranean Restaurant,Shoe Store
Distrikt Hotel,Coffee Shop,Pizza Place,Italian Restaurant,Theater,Bakery,Furniture / Home Store,Gym,Fried Chicken Joint,Thai Restaurant,Cocktail Bar
Dream Downtown,Bakery,Coffee Shop,Pet Store,Café,Market,Ice Cream Shop,Theater,Bar,Electronics Store,Cocktail Bar
Fairfield Inn by Marriott New York Manhattan/Financial District,Italian Restaurant,American Restaurant,Coffee Shop,Ice Cream Shop,Juice Bar,Playground,Seafood Restaurant,Boat or Ferry,Salad Place,Roof Deck
Four Seasons Hotel,Jewelry Store,Boutique,Spa,Shoe Store,Italian Restaurant,Coffee Shop,American Restaurant,Art Gallery,Salon / Barbershop,Women's Store
