City,City Latitude,City Longitude,Venue,Venue Id,Ratings,Venue Latitude,Venue Longitude,Venue Category
"New York, United States",40.7127281,-74.0060152,InterContinental New York Barclay,4a7b8beaf964a52058eb1fe3,8.3,40.755662945565575,-73.97352755069733,Hotel
"New York, United States",40.7127281,-74.0060152,The Roger New York,4a7c0c8ff964a520dceb1fe3,7.8,40.74579736995579,-73.98427740094161,Hotel
"New York, United States",40.7127281,-74.0060152,Walker Hotel Greenwich Village,571558a2498e2f199298d02b,8.9,40.73618,-73.9966,Hotel
"New York, United States",40.7127281,-74.0060152,SIXTY LES Hotel,4b5668d6f964a520370f28e3,8.3,40.72214080000001,-73.98857149999999,Hotel
"New York, United States",40.7127281,-74.0060152,Hyatt Regency Jersey City On The Hudson,4a86e69ff964a5208a0120e3,8.5,40.7170826,-74.0326789,Hotel
"New York, United States",40.7127281,-74.0060152,Hyatt House Jersey City,57e086e5498e63392523069f,8.5,40.71590653092519,-74.03391335889552,Hotel
"New York, United States",40.7127281,-74.0060152,Sanctuary Hotel New York,4d7ad1263fbf6dcbb60b6423,8.1,40.75837,-73.9832957,Hotel
"New York, United States",40.7127281,-74.0060152,Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,54aed577498ee5fc196739f7,7.9,40.7095628,-74.0097181,Hotel
"New York, United States",40.7127281,-74.0060152,JW Marriott Essex House New York,4b18552ef964a52009d123e3,8.3,40.76627698107096,-73.97857233995057,Hotel
"New York, United States",40.7127281,-74.0060152,The New York EDITION,554c1b85498efa107620d07e,9.0,40.741286,-73.9873577,Hotel
"New York, United States",40.7127281,-74.0060152,TRYP By Wyndham Times Square South,4ee2659f61aff90fe487904f,7.8,40.7536447919699,-73.99466008737355,Hotel
"New York, United States",40.7127281,-74.0060152,Freehand New York,59d4126b8194fc768a2cfcde,9.0,40.73974003939308,-73.9846218065663,Hotel
"New York, United States",40.7127281,-74.0060152,Hilton Garden Inn,59b8c291a795bd49fe94b6b3,8.0,40.70296083158532,-74.01228090674596,Hotel
"New York, United States",40.7127281,-74.0060152,Park Central Hotel New York,4690ac4cf964a520a0481fe3,8.1,40.76481,-73.9814,Hotel
"New York, United States",40.7127281,-74.0060152,The High Line Hotel,515a1b3ee4b0f84f522c4b7f,9.0,40.74590361608837,-74.00505423545837,Hotel
"New York, United States",40.7127281,-74.0060152,Hotel on Rivington,43616a00f964a52030291fe3,7.3,40.71995259064954,-73.98810698429789,Hotel
"New York, United States",40.7127281,-74.0060152,Wyndham New Yorker,481dfa3af964a5207f4f1fe3,7.7,40.75259643598074,-73.99364588566934,Hotel
"New York, United States",40.7127281,-74.0060152,The Westin New York at Times Square,4a2458a3f964a520127e1fe3,7.8,40.7577137,-73.9891186,Hotel
"New York, United States",40.7127281,-74.0060152,The Carlyle,4ac8d0d3f964a520b3bc20e3,8.8,40.774413091904705,-73.96330126859895,Hotel
"New York, United States",40.7127281,-74.0060152,New York Marriott Downtown,4a82eea3f964a52090f91fe3,7.8,40.7095039,-74.0146715,Hotel
"New York, United States",40.7127281,-74.0060152,Soho House,40a16900f964a520f9f21ee3,9.1,40.740537106098564,-74.00568490067722,Hotel
"New York, United States",40.7127281,-74.0060152,MADE Hotel,59aaa4888a6f173536519ecb,8.9,40.746185,-73.989523,Hotel
"New York, United States",40.7127281,-74.0060152,The William Vale Hotel,56f32b83cd1058e40988b7e4,9.2,40.722300487960176,-73.9567221147578,Hotel
"New York, United States",40.7127281,-74.0060152,Wythe Hotel,4e760aa5b61c22c638709910,9.0,40.7218872714497,-73.95799353364396,Hotel
"New York, United States",40.7127281,-74.0060152,The Hoxton,58dd3f6814f8f401b39e68c5,8.9,40.720831029789196,-73.95876025033186,Hotel
"New York, United States",40.7127281,-74.0060152,W Hoboken,49eb53f5f964a520c2661fe3,8.5,40.7393875,-74.0280172,Hotel
"New York, United States",40.7127281,-74.0060152,The Jane Hotel,49f9ea10f964a520936d1fe3,8.2,40.73815821879464,-74.00951197805692,Hotel
"New York, United States",40.7127281,-74.0060152,The Williamsburg Hotel,586690d7b6e67d6eddcce163,8.8,40.721482,-73.958715,Hotel
"New York, United States",40.7127281,-74.0060152,"The Langham, New York, Fifth Avenue",518907b0498e1bdcf2664496,9.0,40.7501438,-73.9835325,Hotel
"New York, United States",40.7127281,-74.0060152,Hilton Garden Inn,4ab7e364f964a520587b20e3,7.5,40.75036793018353,-73.98650541901588,Hotel
"New York, United States",40.7127281,-74.0060152,Maritime Hotel,44ac05cef964a5200c351fe3,8.2,40.74247062329949,-74.00407936429644,Hotel
"New York, United States",40.7127281,-74.0060152,Millennium Broadway Hotel,4a0215c6f964a5202a711fe3,7.6,40.757073,-73.9848,Hotel
"New York, United States",40.7127281,-74.0060152,Hotel Giraffe,42893400f964a52065231fe3,8.4,40.74205498782867,-73.98494944514042,Hotel
"New York, United States",40.7127281,-74.0060152,Millennium Hilton,510ad6e2e4b0a2ecec03b322,7.5,40.711114,-74.010333,Hotel
"New York, United States",40.7127281,-74.0060152,Arlo NoMad,57c98ec0498eb5f6df86026b,8.5,40.7462693,-73.9849425,Hotel
"New York, United States",40.7127281,-74.0060152,Hyatt Union Square New York,4f6e4bcee4b0dca2e13ba7d1,8.0,40.73351834192315,-73.99000308255484,Hotel
"New York, United States",40.7127281,-74.0060152,Ace Hotel Brooklyn,5ffdc960d85c9a288b3b391f,8.1,40.68798059792674,-73.98378565907478,Hotel
"New York, United States",40.7127281,-74.0060152,Mondrian Park Avenue,59d793890a464d2a7845df62,8.4,40.74485689895831,-73.98335801719668,Hotel
"New York, United States",40.7127281,-74.0060152,The Westin,4b5b0aa8f964a52063e028e3,8.0,40.7249354,-74.036252,Hotel
"New York, United States",40.7127281,-74.0060152,Homewood Suites by Hilton,53c5b774498e3c9a5c9219b8,8.7,40.7543983,-73.9930572,Hotel
"New York, United States",40.7127281,-74.0060152,Holiday Inn Manhattan-Financial District,544c4131498e767f7769b3e0,7.5,40.708268,-74.0140836,Hotel
"New York, United States",40.7127281,-74.0060152,Hyatt Centric Times Square New York,50eab63be4b09d1aedfe4e75,9.0,40.75739571461923,-73.98422209549119,Hotel
"New York, United States",40.7127281,-74.0060152,Hyatt House New York/Chelsea,57e2ec53498e5e2b40e53abb,8.3,40.746293,-73.990695,Hotel
"New York, United States",40.7127281,-74.0060152,New York Marriott at the Brooklyn Bridge,4a4d7a55f964a520f3ad1fe3,7.9,40.693705,-73.9885647,Hotel
"New York, United States",40.7127281,-74.0060152,Fairfield Inn by Marriott New York Manhattan/Financial District,54e21d97498e7cf9d3f29b3c,7.5,40.705911,-74.004993,Hotel
"New York, United States",40.7127281,-74.0060152,Refinery Hotel,4ffae44ae4b08a4c74218aa0,8.5,40.7522068,-73.9853708,Hotel
"New York, United States",40.7127281,-74.0060152,Innside New York Nomad,56672498498e8aba895b35cf,8.2,40.745923395099126,-73.99270932140246,Hotel
"New York, United States",40.7127281,-74.0060152,Hampton Inn by Hilton,53c5b244498e0ffbbdc92ef4,7.8,40.6957059,-73.9840201,Hotel
"New York, United States",40.7127281,-74.0060152,The Leon Hotel,5282c37711d218b68cd519ab,7.5,40.715993699208575,-73.99517068751025,Hotel
